"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-01",,"42","24","24"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-02",,"37","24","37"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-03",,"48","28","31"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-04",,"34","31","34"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-05",,"42","34","35"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-06",,"38","30","35"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-07",,"39","30","30"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-08",,"38","24","24"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-09",,"39","21","22"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-10",,"37","21","27"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-11",,"40","21","23"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-12",,"36","20","24"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-13",,"42","23","31"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-14",,"40","29","32"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-15",,"46","27","28"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-16",,"41","28","40"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-17",,"43","34","35"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-18",,"42","28","29"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-19",,"43","29","33"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-20",,"40","25","33"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-21",,"38","17","17"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-22",,"40","17","28"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-23",,"41","26","26"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-24",,"29","20","20"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-25",,"30","19","21"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-26",,"37","19","30"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-27",,"33","27","32"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-28",,"34","25","26"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-29",,"29","14","14"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-30",,"23","13","15"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-31",,"31","15","17"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-02",,"30","17","28"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-03",,"33","17","28"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-04",,"35","28","30"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-05",,"42","27","31"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-06",,"43","20","20"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-07",,"41","19","30"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-08",,"33","11","11"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-09",,"28","9","9"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-10",,"31","9","15"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-11",,"33","15","21"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-12",,"31","15","16"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-13",,"29","13","19"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-14",,"25","19","24"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-15",,"36","24","29"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-16",,"36","29","35"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-17",,"48","21","21"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-18",,"30","19","24"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-19",,"26","22","26"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-20",,"32","22","22"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-21",,"32","12","13"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-22",,"35","13","26"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-23",,"35","24","30"
